"V1" "geneID" "pSex" "meanM" "meanF" "sexbias" "bias" "pSex_MA" "meanM_MA" "meanF_MA" "sexbias_MA" "bias_MA" "pSex_BH" "pSex_BH_MA" "meandifdif" "meandifdiv" "meandifdiffoSexBiasmales" "meandifdiffoSexBiasfemales" "meandifdifmoSexBiase" "deltaM_M" "deltaM_F" "CHROM" "CHROM_SH"
"59" 59 "LOC110176329" 3.22420737312566e-05 7.05636865312234 7.61482908272934 -0.558460429606995 "U" 3.56518845388302e-47 6.72657601362255 7.17223413043959 -0.445658116817039 "U" 0.000115331914693266 4.66239676658782e-47 -0.112802312789956 0.798011986508447 -0.32979263949979 -0.44259495228975 0.11280231278996 -0.166917420738105 -0.20758131811031 "2R" "Auto"
"60" 60 "LOC110182788" 0.413328211766853 7.42821301215676 7.51508953866316 -0.0868765265064004 "U" 3.78781562170075e-05 7.17743921407219 7.06750670476485 0.109932509307337 "U" 0.425404058830343 4.00611889436277e-05 0.0230559828009366 -1.26538794457025 -0.250773798084571 -0.44758283389831 0.19680903581374 -0.120570143314301 -0.212706729951982 "2R" "Auto"
"61" 61 "LOC110179119" 1.24998234362727e-06 4.16106399086899 6.45215589893647 -2.29109190806748 "F" 7.74936771205959e-255 3.82175306071117 5.78833337004879 -1.96658030933761 "F" 2.68232757408381e-05 1.88154648048807e-253 -0.32451159872987 0.858359414745787 -0.33931093015782 -0.66382252888768 0.32451159872986 -0.291229539661698 -0.367442260100723 "2R" "Auto"
"62" 62 "LOC110177149" 0.00014044017141404 6.25781399775299 4.42048299867956 1.83733099907343 "M" 2.34976006426164e-126 6.07976878209241 4.74572387753112 1.33404490456129 "M" 0.000316180711163535 5.760160505464e-126 -0.50328609451214 0.726077612163541 -0.17804521566058 0.32524087885156 -0.50328609451214 -0.101613082530846 0.262770961380006 "2R" "Auto"
"63" 63 "LOC110190958" 2.38518423159155e-06 7.54229387868705 6.60219282695186 0.9401010517352 "U" 3.22865387382409e-206 7.66668546677581 6.6207689124981 1.04591655427771 "M" 3.09990530699422e-05 2.74836113466515e-205 0.10581550254251 1.11255758340787 0.12439158808876 0.0185760855462398 0.10581550254252 0.0589019307509278 0.0100486557124342 "2R" "Auto"
"64" 64 "LOC110187977" 0.000395424924532508 5.74524626005357 6.6723812468179 -0.927134986764339 "U" 1.82585176801817e-146 6.09859737259904 6.83595985069474 -0.737362478095698 "U" 0.000704674363027557 5.74932015220725e-146 -0.189772508668641 0.795312968038302 0.353351112545471 0.16357860387684 0.18977250866863 0.219654337163121 0.0875563427732426 "2R" "Auto"
"65" 65 "LOC110176829" 0.00292496078125903 2.47456647817096 1.67280271990744 0.801763758263515 "U" 0.623445755829016 2.47794647617132 2.49402620714686 -0.0160797309755361 "U" 0.00388174664058443 0.628062103823154 -0.785684027287979 -0.0200554475178101 0.00337999800035993 0.82122348723942 -0.81784348923906 0.00487819645838705 1.75330957497329 "2R" "Auto"
"66" 66 "LOC110176515" 0.329262098099724 7.11104549062339 7.17969539934987 -0.0686499087264831 "U" 4.60520643669322e-20 7.27601719264024 7.17964823856126 0.0963689540789741 "U" 0.341240769123315 5.30119387191046e-20 0.027719045352491 -1.40377395784938 0.16497170201685 -4.71607886103342e-05 0.165018862805461 0.0828548559894713 -2.34594058000431e-05 "2R" "Auto"
"67" 67 "LOC110177373" 0.0785966776262969 5.42147238940407 5.62144323963645 -0.19997085023238 "U" 1.7996669693681e-84 5.4653965021952 5.88170524489376 -0.416308742698557 "U" 0.0854396450129644 2.94813619582389e-84 0.216337892466177 2.08184714029458 0.0439241127911298 0.260262005257309 -0.216337892466179 0.0289352818071136 0.165350270741746 "2R" "Auto"
"68" 68 "LOC110175958" 0.00760929699328304 5.90040388201509 6.42899980561431 -0.528595923599218 "U" 0.0436243781238558 6.01573857874106 6.06363279478748 -0.0478942160464202 "U" 0.0093368002758508 0.0448345881447442 -0.480701707552798 0.0906064801262706 0.11533469672597 -0.365367010826829 0.480701707552799 0.0698104128803306 -0.202968147609036 "2R" "Auto"
"69" 69 "LOC110178546" 1.49854099557856e-06 5.90577932666909 8.9518452232542 -3.0460658965851 "F" 3.13754928188037e-253 5.70183446701661 8.87277243240617 -3.17093796538956 "F" 2.78968661652641e-05 7.28188275979941e-252 0.12487206880446 1.04099453952866 -0.20394485965248 -0.0790727908480289 -0.124872068804451 -0.123332494912177 -0.0315468841802189 "2R" "Auto"
"70" 70 "LOC110177124" 2.75959285373412e-05 3.71462340448442 5.53956671898329 -1.82494331449888 "F" 7.62252890041225e-245 3.75223420573893 5.59562046792049 -1.84338626218156 "F" 0.000105095549133146 1.39557715900587e-243 0.01844294768268 1.01010603865674 0.0376108012545098 0.0560537489372006 -0.0184429476826908 0.0361609443456682 0.0361385593216115 "2R" "Auto"
"71" 71 "LOC110177111" 0.000177366448833652 5.58579827047135 3.13484186104786 2.45095640942348 "M" 3.27752254751765e-181 5.36219504929993 3.13378440141138 2.22841064788855 "M" 0.000376706647249949 1.74278506889904e-180 -0.22254576153493 0.909200440824128 -0.22360322117142 -0.00105745963647985 -0.22254576153494 -0.142966661896238 -0.0012047311240109 "2R" "Auto"
